0	Date	Open	High	Low	Close	
1	2024-03-17	60102.67	63373.2	59384.93	62937.54	
2	2024-03-16	63950.11	64440.12	59621.0	60105.98	
3	2024-03-15	65641.38	66588.41	60161.67	63932.39	
4	2024-03-14	66806.95	67462.84	63006.2	65641.37	
5	2024-03-13	65420.75	67324.65	65302.57	66794.5	
6	2024-03-12	65321.46	66555.0	62500.0	65433.53	
7	2024-03-11	63104.82	66500.0	61300.0	65323.43	
8	2024-03-10	62578.01	63975.23	62279.23	63108.39	
9	2024-03-09	62457.93	62811.42	62214.92	62575.41	
10	2024-03-08	61161.39	63987.56	60459.98	62455.93	
11	2024-03-07	60719.43	62375.0	60209.58	61162.23	
12	2024-03-06	58820.69	62318.57	57933.82	60713.19	
13	2024-03-05	62862.29	63530.0	52960.0	58809.63	
14	2024-03-04	58231.05	63143.56	57333.0	62836.25	
15	2024-03-03	57235.04	58358.64	56592.87	58240.78	
16	2024-03-02	57592.97	57643.18	56803.07	57232.82	
17	2024-03-01	56199.1	58249.0	56031.65	57582.66	
18	2024-02-29	57571.66	58550.0	55555.0	56276.27	
19	2024-02-28	52612.09	59037.18	52329.83	57572.1	
20	2024-02-27	50198.43	53130.99	50172.0	52617.38	
21	2024-02-26	47780.79	50600.0	46992.56	50198.43	
22	2024-02-25	47638.91	48000.0	47390.96	47784.06	
23	2024-02-24	46934.63	47785.77	46776.46	47638.91	
24	2024-02-23	47410.09	47631.61	46731.06	46920.72	
25	2024-02-22	47964.14	48156.98	47050.0	47407.85	
26	2024-02-21	48372.3	48478.79	46891.31	47969.03	
27	2024-02-20	48089.66	49028.75	47000.0	48372.02	
28	2024-02-19	48392.53	48724.2	48000.01	48083.61	
29	2024-02-18	47978.74	48636.66	47529.8	48384.23	
30	2024-02-17	48428.5	48463.38	46950.0	47978.74	
31	2024-02-16	48218.28	48968.53	47914.55	48428.5	
32	2024-02-15	48354.88	49072.04	47709.49	48224.79	
33	2024-02-14	46429.06	48585.0	45989.62	48354.88	
